section_id,program,department,year,semester_parity,section_name,student_count
CSE-1-A,B.Tech,CSE,1,ODD,A,60
CSE-1-B,B.Tech,CSE,1,ODD,B,60
CSE-1-C,B.Tech,CSE,1,ODD,C,60
CSE-1-D,B.Tech,CSE,1,ODD,D,60
CSE-1-E,B.Tech,CSE,1,ODD,E,60
CSE-1-F,B.Tech,CSE,1,ODD,F,60
CSE-1-G,B.Tech,CSE,1,ODD,G,60
CSE-1-H,B.Tech,CSE,1,ODD,H,60
CSE-2-A,B.Tech,CSE,2,EVEN,A,60
CSE-2-B,B.Tech,CSE,2,EVEN,B,60
CSE-2-C,B.Tech,CSE,2,EVEN,C,60
CSE-2-D,B.Tech,CSE,2,EVEN,D,60
CSE-2-E,B.Tech,CSE,2,EVEN,E,60
CSE-2-F,B.Tech,CSE,2,EVEN,F,60
CSE-2-G,B.Tech,CSE,2,EVEN,G,60
CSE-2-H,B.Tech,CSE,2,EVEN,H,60
CSE-3-A,B.Tech,CSE,3,ODD,A,60
CSE-3-B,B.Tech,CSE,3,ODD,B,60
CSE-3-C,B.Tech,CSE,3,ODD,C,60
CSE-3-D,B.Tech,CSE,3,ODD,D,60
CSE-3-E,B.Tech,CSE,3,ODD,E,60
CSE-3-F,B.Tech,CSE,3,ODD,F,60
CSE-4-A,B.Tech,CSE,4,EVEN,A,50
CSE-4-B,B.Tech,CSE,4,EVEN,B,50
CSE-4-C,B.Tech,CSE,4,EVEN,C,50
CSE-4-D,B.Tech,CSE,4,EVEN,D,50
CSE-4-E,B.Tech,CSE,4,EVEN,E,50
CSE-4-F,B.Tech,CSE,4,EVEN,F,50
